EstacaoCodigo,Data,Maxima,Total,DiaMaxima,NumDiasDeChuva,TotalAnual,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
734006,01/08/2013,103.2,252.2,30,24,,0,0,0,0,0.4,7.2,0.6,7.8,1.3,2,0.1,0.2,1.8,17.5,24.4,0,0.5,19.4,24.8,2,0.2,0.1,2.8,0,0.7,0.2,3,0,9.6,103.2,22.4
734006,01/07/2013,123.6,142.8,3,3,,0,14.6,123.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734006,01/06/2013,132.2,488.7,9,21,,0,19.6,17.3,8.4,49.2,2.6,0,0.3,132.2,0,0,17.2,83.6,21.7,0.6,0,13.9,0.2,14.6,2,11.4,80.6,0,0,0,4.8,5.6,1.5,1.4,0,
734006,01/05/2013,49.3,185.7,14,16,,8,0.1,0,0,0,9.6,0,0,0,1.7,0,0,1.8,49.3,0.2,0,12,49.2,3.8,0,0,0,4.2,0.7,25.3,0,0,1,0,16,2.8
734006,01/04/2013,54,271.2,28,18,,2.8,1.6,2.4,0,0,0,0,0,0,0,1,0,1.1,1.2,0,0,0,13.2,9.8,6.9,36,14.2,0,24.6,37.2,1.2,0.6,54,53.4,10,
734006,01/03/2013,12,17.5,4,7,,0,3.3,0,12,0,0.4,0,0,0.4,0,0,0,0,0,0.2,0,0.8,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
734006,01/02/2013,18.6,39.7,18,13,,0,0,0,0,0,0,0,0,1,1.3,1,0,0.4,0,0.4,0.4,0,18.6,7.4,3,0.9,4.8,0,0.1,0.4,0,0,0,,,
734006,01/01/2013,16.2,51.3,19,16,,1.3,2,11.4,4.4,2.8,0,1,0.5,0,0,0,0.4,3,7.2,0.2,0.3,0.3,0,16.2,0,0.1,0,0,0,0,0,0,0,0,0.2,0
734006,01/12/2012,2,7.5,17,7,,0.5,1.6,0.8,0,0,0,0,0,0,0,0,1.4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
734006,01/11/2012,1,2,30,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1,
734006,01/10/2012,11,30.5,11,14,,0,4.2,3,0,0,0.4,2.2,1,1.8,0,11,0.3,4,0.4,0.4,0,0,0,0,0,1.2,0.2,0,0,0,0,0,0.4,0,0,0
734006,01/09/2012,11.8,36.7,6,14,,4,1.6,0,0.4,4.8,11.8,0,1.2,0.1,0,2.6,2.5,0,0,0,1,1.3,4.2,0.4,0,0,0,0,0,0,0.8,0,0,0,0,
734006,01/08/2012,25.6,81.1,18,23,,0.6,5,0.4,0.3,0,0,0,0,5.2,0.5,2.6,0.5,5.3,7.2,3.8,1,3.9,25.6,0.8,1.8,2.6,0,4.4,3.4,0.3,5.2,0.1,0.6,0,0,0
734006,01/07/2012,100,290.5,13,23,,0.1,67.4,35.4,6.4,1.5,0.2,0.6,0,2.4,4.6,3.3,0,100,10.2,1.2,0,1.4,19.4,0,0,1,0.2,13.2,0,0.6,1.2,17.8,1.2,0,1.2,0
734006,01/06/2012,151.6,538.1,28,23,,0,4.8,1.2,4.4,3.6,0,131,2.7,0,0,8.8,1.6,0,13.6,0.1,1.4,0.2,0.4,51.6,111.4,1,3.2,0.1,0,23.6,12.6,0.4,151.6,8.8,0,
734006,01/05/2012,67.8,216.5,23,17,,0,0,0,0,8,5,11.2,4.4,0,0,0,5.2,0,0,0,0,0,0,0.3,13.8,0,1,67.8,14.2,17.2,24.8,18.8,3.3,5.8,11.2,4.5
734006,01/04/2012,16.4,47,2,11,,0,16.4,2.4,8.9,1.8,6.3,8,0.2,0.5,0.6,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1.7,0,0,0,0,
734006,01/03/2012,36.2,71,11,13,,0,0.8,0,0,0.2,0,0,0,0.3,14.4,36.2,0.5,7.4,0,0.1,0,0,3,0,0,0,0,0,3,0,0,1.4,1.7,0,2,0
734006,01/02/2012,54.8,141.3,18,14,,0,0,0,2.8,0.1,0,3,0,0,0,0,0,0,0.4,6.2,5,14,54.8,22.2,0.4,0,19.6,0,0,0,0,7.2,5,0.6,,
734006,01/01/2012,118.2,206.4,24,15,,1,6.8,0,0,0,0,0,4.6,9.6,0,4.7,6,1,0,0,0,0,0,11.6,20.6,0,3.2,16.4,118.2,0.2,0,0,0.3,0,2.2,0
734006,01/12/2011,2.7,8.4,6,9,,0,0.4,0,0,0.2,2.7,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.2,0.1,0.2,1,2.3,0,0,0,0,0
734006,01/11/2011,16.1,45.2,15,13,,0.3,0,1.3,0,0,1.8,0,0,0,0,1.8,0,1.4,4,16.1,0.4,2,0,0,0,0,10.1,0,0,0.2,0,0,3.8,2,0,
734006,01/10/2011,3.2,9.6,15,14,,0,0.1,0,0,0.6,0.4,0.4,0.1,0,0,0.6,0,0,0.1,3.2,0.9,0,0,0,1.8,0.5,0.2,0.1,0,0,0,0,0,0,0.6,0
734006,01/09/2011,11.4,36.5,15,16,,0,2.8,0.4,7.7,1.1,0,0,0,0.1,0.2,1,0,0,0.4,11.4,0.8,5.8,0,3.3,0,0,0,0,0.1,0,1.1,0.2,0.1,0,0,
734006,01/08/2011,31.8,215.5,9,21,,13.8,0,0,0,0,0,1,10.2,31.8,1.6,0,3.8,2.5,30,14.1,5.2,15.2,8.8,3.1,0,0.6,0.2,31.6,0.3,2.4,30.6,3.9,0,4.8,0,0
734006,01/07/2011,79.6,425.8,16,26,,0,10.8,21.1,0,1.6,18.8,9.1,32.2,0.4,0.9,19.2,73.4,56.4,0.4,0.2,79.6,55.4,7.4,1.4,1,0,0,0.2,1,0,0.2,14.2,4.7,0.6,11.2,4.4
734006,01/06/2011,42.6,248.7,4,22,,0.4,0,1.8,42.6,0,5,7.4,1.2,0,5.6,1,24.4,3.8,0,0,5.8,25.8,4.8,0,3.4,22.7,28.9,1.8,0.2,0,11.8,0,7.8,33.1,9.4,
734006,01/05/2011,165,484.7,20,26,,20.1,37.8,28.8,51,18.2,6.2,0,0,9.2,6.6,22.2,2,0,1,8.8,8.8,0,9.2,19.8,165,1.2,0,15,16,0.4,7,1.4,0.5,8.6,19.8,0.1
734006,01/04/2011,77.4,428,9,24,,8,0,0,0.2,1.4,3.8,0,6.2,77.4,5.2,25.4,56.2,72,14,1.4,0,0.3,32.4,24.8,15.3,28.8,1.4,0.4,4.2,1.8,35.2,0,0,5,7.2,
734006,01/03/2011,21.8,66.2,1,13,,21.8,0,0,2.2,0,0,0,1.4,4.4,0,2.4,0.7,0,0,13.8,0,0,0,0,0,0,0,9,0.6,0.7,0.8,0,7.4,0,0,1
734006,01/02/2011,119.8,222,20,13,,0,0,3.3,1,0.2,0,0,0,0,0,0,1,52,4.6,0,7.2,0,0,0.4,119.8,28,2,0,0,2.4,0.1,0,0,,,
